A	Agilent Technologies
BHE	Benchmark Electronics
BHI	Baker Hughes Inc.
BHK	Blackrock Core Trust
BHL	Blackrock Defined Opportunity Trust
BHP	Bhp Billiton Limited
BHY	Blackrock High Yield Trust
BID	Sotheby's Holdings
BIE	Blackrock Muni Bond Investment Trust
BIF	Uslife Income Fund
BIG	Big Lots
BIN	Iesi-Bfc Ltd
BIO	Bio-Rad Laboratories
BIO.B	Bio Rad Labs Cl B
BIP	Brookfield Infrastructure Partners Lp
BITA	Bitauto Holdings Limited
BJZ	Blackrock California Muni 2018 Trust
BK	Bank Of New York Mellon Corp.
BK-E	BnY Cap IV 6.75 E
BK-F	BnY Cap V TR Pfd F
BKD	Brookdale Senior Living Inc.
BKE	Buckle
BKH	Black Hills Corp.
BKI	Buckeye Technologies
BKK	Blackrock Muni 2020 Trust
BKN	Blackrock Investment Quality Municipal
BKS	Barnes & Noble
BKT	Blackrock Income Trust Inc.
BKU	Bankunited
BLC	Belo Corp.
BLH	Blackrock New York Muni 2018 Trust
BLK	Blackrock
BLL	Ball Corp.
BLOX	Infoblox Inc.
BLT	Blount International
BLW	Blackrock Limited Duration Income Trust
BLX	Banco Latinoamericano De Comercio
BMA	Banco Macro S.A.
BME	Blackrock Health Sciences Trust
BMI	Badger Meter
BML-G	Bank America Dep G
BML-H	Bank America Dep H
BML-I	Bank America Dep I
BML-J	Bank America Dep J
BML-L	Bank America Dep L
BML-N	Bank America Dep N
BML-O	Bank America Dep O
BML-Q	Bank America Dep Q
BMO	Bank Of Montreal
BMR	Biomed Realty Trust
BMR-A	Biomed Realty TR Pfd
BMS	Bemis Company
BMY	Bristol-Myers Squibb Company
BNA	Blackrock Income Opportunity Trust Inc.
BNJ	Blackrock New Jersey Muni Income Trust
BNNY	Annie's Inc.
BNS	Bank Of Nova Scotia
BNY	Blackrock New York Muni Trust Inc.
BOE	Blackrock Global
BOH	Bank Of Hawaii Corp.
BORN	China New Borun Corp.
BOX	Seacube Container Leasing Ltd
BOXC	Brookfield Office Properties C
BP	Bp P.L.C.
BPI	Bridgepoint Education
BPK	Blackrock Muni 2018 Trust
BPL	Buckeye Partners L.P.
BPO	Brookfield Properties Corp.
BPP	Blackrock Preferred Oopportunity Trust
BPT	Bp Prudhoe Bay Royalty Trust
BPZ	Bpz Resources Inc
BQH	Blackrock New York Muni Trust
BQR	Blackrock Ecosolutions Investment Trust
BR	Broadridge Financial Solutions Llc
BRC	Brady Corp.
BRE	Bre Properties
BRE-D	Bre Pptys Pfd D
BRFS	Brf-Brasil Foods S.A.
BRK.A	Berkshire Hath Hld A
BRK.B	Berkshire Hath Hld B
BRO	Brown & Brown
BRP	Brookfield Residential Propert
BRS	Bristow Group Inc
BRT	Brt Realty Trust
BRY	Berry Petroleum Company
BSAC	Banco Santander-Chile Ads
BSBR	Banco Santander Brasil Sa
BSD	Blackrock Strategic Muni Trust Inc.
BSE	Blackrock New York Muni Income Trust
BSI	Alon Holdings - Blue Square Israel Ltd
BSL	Blackstone Gso Senior Floating Rate
BSP	American Strategic Income Portfolio Ii
BSX	Boston Scientific Corp.
BT	Bt Group Plc
BTA	Blackrock Long-Term Muni Advantage Trust
BTE	Baytex Energy Corp
BTF	Boulder Total Return Fund
BTH	Blyth
BTO	John Hancock Bank And Thrift Fund
BTU	Peabody Energy Corp.
BTZ	Blackrock Preferred
BUD	Anheuser-Busch Inbev Sa
BUI	Blackrock Utility And Infrastr
BVN	Compania Mina Buenaventura S.A.
BWA	Borgwarner Inc.
BWC	Babcock & Wilcox Company
BWF	Wells Fargo & Company
BWG	Legg Mason Bw Global Income Op
BWP	Boardwalk Pipeline Partners L.P.
BWS	Brown Shoe Company
BX	The Blackstone Group L.P.
BXC	Bluelinx Holdings Inc.
BXG	Bluegreen Corp.
BXP	Boston Properties
BXS	Bancorpsouth
BXS-A	Bancorpsouth Cp TR I
BYD	Boyd Gaming Corp.
BYI	Bally Technologies
BYM	Blackrock Muni Income Quality Trust
BZ	Boise Inc
BZH	Beazer Homes USA
BZMD	Beazer Homes USA
BZU	Beazer Homes USA
C	Citigroup Inc.
C-E	Cg Cp Xvii 6.35 Trup
C-F	Citigrp Cap Xix Pfd
C-G	Citigroup Cap Xx
C-H	Citigroup Inc
C-I	Citigroup Inc Pfd
C-J	Citigroup Capital Xii
C-M	Citigroup Pfd F
C-N	Citigroup Capital XiII
C-O	Citigrp 6.875% Encha
C-P	Citigroup Pfd Ser Aa
C-Q	Citigrp Cap Vi Trups
C-R	Citigroup Cap X
C-S	Citigroup Cap Ix 6.0
C-U	Citigroup Capital Xv
C-V	Citigroup Cap Vii
C-W	Citigroup Inc. 6.45%
C-Z	Citigroup Cap ViII
C.A	Citigroup Inc Wrnt 'A'
C.B	Citigroup Inc Wrnt 'B'
CAB	Cabela's Inc
CACI	Caci International
CAE	Cae Inc
CAF	Morgan Stanley China A Share Fund Inc.
CAG	Conagra Foods
CAH	Cardinal Health
CAJ	Canon
CALX	Calix Inc
CAM	Cameron International Corp.
CAP	Cai International
CAS	Castle [A.M.] & Co.
CASC	Cascade Corp.
CAT	Caterpillar
CATO	Cato Corp.
CB	Chubb Corp.
CBB	Cincinnati Bell Inc
CBB-B	Cincinnati Bell Pr B
CBD	Companhia Brasileira De Distribuicao
CBE	Cooper Industries Plc.
CBG	Cbre Group Inc
CBI	Chicago Bridge & Iron Company N.V.
CBK	Christopher & Banks Corp.
CBL	Cbl & Associates Properties
CBL-C	Cbl & Associates Properties In
CBL-D	Cbl Pfd D
CBM	Cambrex Corp.
CBR	Ciber
CBS	Cbs Corp.
CBS.A	Cbs Corp.
CBT	Cabot Corp.
CBU	Community Bank System
CBZ	Cbiz
CCC	Calgon Carbon Corp.
CCE	Coca-Cola Enterprises
CCG	Campus Crest Communities
CCH	Coca Cola Hellenic Bottling Co
CCI	Crown Castle International Corp.
CCJ	Cameco Corp.
CCK	Crown Cork & Seal Company
CCL	Carnival Corp.
CCM	Concord Medical Services
CCO	Clear Channel Outdoor Holdings
CCS	Comcast Corp.
CCSC	Country Style Cooking
CCU	Compania Cervecerias Unidas S.A.
CCZ	Comcast Corp.
CDE	Coeur D'Alene Mines Corp.
CDI	Cdi Corp.
CDR	Cedar Shopping Centers Inc
CDR-A	Cedar Shopping Pfd
CE	Celanese Corp.
CEA	China Eastern Airlines Corp Ltd
CEC	Cec Entertainment
CEE	Central Europe And Russia Fund
CEG-A	Constellation Energy
CEL	Cellcom Israel
CEM	Clearbridge Energy MLP Fund Inc.
CEO	Cnooc Limited
CF	Cf Industries Holdings
CFC-A	Cntrywd Cap IV New
CFC-B	Countrywde Cap V New
CFI	Culp
CFN	Carefusion Corp.
CFR	Cullen/Frost Bankers
CFX	Colfax Corp.
CGA	China Green Agriculture
CGI	Celadon Group
CGO	Calamos Global Total Return Fund
CGV	Compagnie Generale De Geophysique-Veritas
CGX	Consolidated Graphics
CHA	China Telecom Corp Ltd
CHC	China Hydroelectric Corp.
CHC.W	China Hydroelectric Corp
CHD	Church & Dwight Company
CHE	Chemed
CHG	Ch Energy Group
CHH	Choice Hotels International
CHI	Calamos Convertible Opportunities
CHK	Chesapeake Energy Corp.
CHK-D	Chesapeake En Cv Pfd
CHKM	Chesapeake Midstream Partmers L.P.
CHKR	Chesapeake Granite Wash Trust
CHL	China Mobile [Hong Kong] Ltd
CHMT	Chemtura
CHN	China Fund
CHS	Chico's Fas
CHSP	Chesapeake Lodging Trust
CHT	Chunghwa Telecom Co Ltd
CHU	China Unicom [Hong Kong] Ltd
CHW	Calamos Global Dynamic
CHY	Calamos Convertible And High
CI	Cigna Corp.
CIA	Citizens
CIB	Bancolombia S.A.
CIE	Cobalt International Energy
CIF	Colonial Intermediate High
CIG	Comp En De Mn Cemig Ads
CIG.C	Comp En De Mn Cemig Ads
CII	Blackrock Capital And Income Strategies
CIM	Chimera Investment Corp.
CIR	Circor International
CIS	Camelot Information Systems
CIT	Cit Group Inc [Del]
CJES	C&J Energy Services Inc.
CJS	Vale Cap Ltd
CJT	Vale Cap Ltd
CKH	Seacor Smit Inc.
CKP	Checkpoint Systms
CL	Colgate-Palmolive Company
CLB	Core Laboratories N.V.
CLC	Clarcor Inc.
CLD	Cloud Peak Energy Inc
CLDT	Chatham Lodging Trust [Reit]
CLF	Cliffs Natural Resources Inc.
CLGX	Corelogic
CLH	Clean Harbors
CLI	Mack-Cali Realty Corp.
CLNY	Colony Financial Inc
CLP	Colonial Properties Trust
CLR	Continental Resources
CLS	Celestica
CLW	Clearwater Paper Corp.
CLX	Clorox Company
CM	Canadian Imperial Bank Of Commerce
CMA	Comerica Inc.
CMA.W	Comerica
CMC	Commercial Metals Company
CMG	Chipotle Mexican Grill
CMI	Cummins Inc.
CMK	Colonial Intermarket Income Trust I
CMLP	Crestwood Midstream Partners Lp
CMN	Cantel Medical
CMO	Capstead Mortgage Corp.
CMO-A	Capstead Mtg Pfd
CMO-B	Capstead Mortg Pfd B
CMP	Compass Minerals Intl Inc
CMRE	Costamare Inc.
CMS	Cms Energy Corp.
CMS-A	Consumers Engry 4.16
CMS-B	Consumers Engry 4.50
CMU	Colonial Muni Income Trust
CNA	Cna Financial Corp.
CNC	Centene Corp.
CNH	Cnh Global N.V.
CNI	Canadian National Railway Company
CNK	Cinemark Holdings Inc
CNL	Cleco Power Llc
CNO	Cno Financial Group
CNP	Centerpoint Energy Inc
CNQ	Canadian Natural Resources
CNS	Cohn & Steers Inc
CNW	Cnf
CNX	Consol Energy Inc.
CO	China Cord Blood Corporation.
CODE	Spansion Inc
CODI	Compass Diversified Holdings
COF	Capital One Financial Corp.
COF-B	Capital One Cap Ii P
COF.W	Capital One Financial Corp
COG	Cabot Oil & Gas Corp.
COH	Coach
COL	Rockwell Collins
COO	Cooper Companies
COP	Conocophillips
COR	Coresite Realty Corp.
COT	Cott Corp.
COV	Covidien Plc.
COY	Blackrock Corporate High Yield Fund
CP	Canadian Pacific Railway
CPA	Copa Holdings S.A.
CPAC	Cementos Pacasmayo S.A.A.
CPB	Campbell Soup Company
CPE	Callon Petroleum Company
CPF	Cpb Inc.
CPK	Chesapeake Utilities Corp.
CPL	Cpfl Energia S.A.
CPN	Calpine Corp.
CPO	Corn Products International
CPP	Merrill Lynch Depositor
CPT	Camden Property Trust
CQB	Chiquita Brands International
CR	Crane Company
CRD.A	Crawford Co Cl A
CRD.B	Crawford Co Cl B
CRH	Crh Plc
CRI	Carter's
CRK	Comstock Resources
CRL	Charles River Laboratories Intl
CRM	Salesforce.Com Inc
CRP	Credit Suisse Guernsey Brh
CRR	Carbo Ceramics
CRS	Carpenter Technology Corp.
CRT	Cross Timbers Royalty Trust
CRY	Cryolife
CS	Credit Suisse Group
CSC	Computer Sciences Corp.
CSE	Capitalsource Inc
CSFS	The Cash Store Financial Services
CSH	Cash America International
CSI	Cutwater Select Income Fund
CSL	Carlisle Companies Inc.
CSP	American Strategic Income Portfolio III
CSQ	Calamos Strategic Total Return Fund
CSS	Css Industries
CSU	Capital Senior Living Corp.
CSV	Carriage Services
CSX	Csx Corp.
CT	Capital Trust
CTB	Cooper Tire & Rubber Company
CTC	Ifm Investments Limited
CTL	Centurylink
CTQ	Qwest Corporation
CTS	Cts Corp.
CTW	Qwest Corporation
CTX	Qwest Corporation
CTZ-A	Citizens Funding
CUB	Cubic Corp.
CUB-A	Cubesmart 7.75% Series A Cumula
CUBE	Cubesmart
CUK	Carnival Plc Ads
CUZ	Cousins Properties Inc.
CUZ-A	Cousins Properties
CUZ-B	Cousins Pptys Pfd B
CV	Central Vermont Pub Svc
CVA	Covanta Holding Corp.
CVB	Lehman Abs Corp.
CVC	Cablevision Systems Corp.
CVD	Covance Inc.
CVE	Cenovus Energy Inc
CVG	Convergys Corp.
CVH	Coventry Health Care
CVI	Cvr Energy Inc.
CVO	Cenveo Inc
CVS	Cvs Corp.
CVX	Chevron Corp.
CW	Curtiss-Wright Corp.
CWH	Commonwealth REIT
CWH-C	Commonwealth REIT Cum. Red. Pfd
CWH-D	Commonwealth REIT Pfd Conv Shs
CWH-E	Commonwealth REIT
CWHN	Commonwealth REIT
CWT	California Water Service Group Holding
CWZ	Lehman Abs Corp.
CX	Cemex S.A.B. De C.V.
CXE	Colonial High Income Muni Trust
CXH	Colonial Investment Grade Muni Trust
CXO	Concho Resources Inc.
CXS	Crexus Investment
CXW	Corrections Corporation Of America
CYD	China Yuchai International
CYE	Blackrock Corporate Yield Fund III
CYH	Community Health Systems
CYN	City National Corp.
CYS	Cys Investments Inc
CYT	Cytec Industries Inc.
CZZ	Cosan Limited
D	Dominion Resources
DAC	Danaos Corp.
DAL	Delta Air Lines Inc.
DAN	Dana Holding Corp.
DANG	E-Commerce China Dangdang Inc.
DAR	Darling International Inc.
DB	Deutsche Bank Ag
DBD	Diebold Inc.
DBL	Doubleline Opportunistic Credi
DCA	Dca Total Return Fund
DCE	Deutsche Bk Cap Fdg TR X
DCI	Donaldson Company
DCM	Ntt Docomo Inc
DCO	Ducommun Inc.
DCT	Dct Industrial Trust Inc
DD	E.I. Du Pont De Nemours And Company
DD-A	Du Pont E I 3.50 Pfd
DD-B	Du Pont E I 4.50 Pfd
DDD	3D Systems Corp.
DDE	Dover Downs Gaming & Entertainment Inc
DDF	Delaware Dividend & Income
DDMG	Digital Domain Media Group In
DDR	Ddr Corp
DDR-H	Develprs Div Rlt Dep
DDR-I	Dev Div Rlty Cp Pfd
DDS	Dillard's
DDT	Dillard's
DE	Deere & Company
DEG	Etablissements Delhaize Freres
DEI	Douglas Emmett
DEL	Deltic Timber Corp.
DEO	Diageo Plc
DEX	Delaware Enhanced Global Dividend
DEXO	Dex One Corp.
DF	Dean Foods Company
DFG	Delphi Financial Group
DFP	Delphi Financial Group
DFS	Discover Financial Services
